country	pm_id	lr	encoder	wiki	comment
UA	#fr.apu	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Agrarian_Party_of_Ukraine	en.wiki
UA	#fr.bl	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Lytvyn_Bloc	The participating parties were C to CL (https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_(%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0) & https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0)
UA	#fr.bpp	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/European_Solidarity	en.wiki
UA	#fr.but	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Batkivshchyna	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf; https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	#fr.byut	BT	AnnaKryvenko	https://en.wikipedia.org/wiki/Yulia_Tymoshenko_Bloc	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	#fr.es	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/European_Solidarity	en.wiki
UA	#fr.FU	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/Ukraine_–_Forward!	en.wiki
UA	#fr.hol	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Holos_(political_party)	en.wiki
UA	#fr.kpu	FL	AnnaKryvenko	https://en.wikipedia.org/wiki/Communist_Party_of_Ukraine	en.wiki
UA	#fr.nf	CRR	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Front_(Ukraine)	en.wiki
UA	#fr.np1	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Party_(Ukraine)	en.wiki
UA	#fr.np2	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Party_(Ukraine)	en.wiki
UA	#fr.nru	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Movement_of_Ukraine	en.wiki
UA	#fr.nu02	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Our_Ukraine–People%27s_Self-Defense_Bloc	en.wiki
UA	#fr.nu06	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Our_Ukraine–People%27s_Self-Defense_Bloc	en.wiki
UA	#fr.nuns	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Our_Ukraine–People%27s_Self-Defense_Bloc	en.wiki
UA	#fr.ob	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Opposition_Bloc	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	#fr.opzzh	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Opposition_Platform_—_For_Life	c.f. https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	#fr.ppu	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Party_of_Industrialists_and_Entrepreneurs_of_Ukraine	en.wiki
UA	#fr.PRP	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Reforms_and_Order_Party	en.wiki
UA	#fr.reg	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Party_of_Regions	c.f. https://en.wikipedia.org/wiki/Party_of_Regions
UA	#fr.regU	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Party_of_Regions	c.f. https://en.wikipedia.org/wiki/Party_of_Regions
UA	#fr.rp	SY	AnnaKryvenko	https://en.wikipedia.org/wiki/Radical_Party_of_Oleh_Liashko	en.wiki
UA	#fr.rzm	CCR	AnnaKryvenko	https://en.wikipedia.org/wiki/Reforms_for_the_Future	It consisted of the former members of бБЮТ & бНУНС.
UA	#fr.sdpuo	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Ukraine_(united)	uk.wiki
UA	#fr.sn	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Servant_of_the_People	en.wiki
UA	#fr.sp	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Self_Reliance_(political_party)	en.wiki
UA	#fr.spu	L	AnnaKryvenko	https://en.wikipedia.org/wiki/Socialist_Party_of_Ukraine	c.f. https://uk.wikipedia.org/wiki/%D0%A1%D0%BE%D1%86%D1%96%D0%B0%D0%BB%D1%96%D1%81%D1%82%D0%B8%D1%87%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8
UA	#fr.sv	RRF	AnnaKryvenko	https://en.wikipedia.org/wiki/Svoboda_(political_party)	en.wiki
UA	#fr.ud	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Ukrainian_Democratic_Alliance_for_Reform	en.wiki
UA	#fr.unp	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Party_(Ukraine)	c.f. https://en.wikipedia.org/wiki/Ukrainian_People%27s_Party
UA	#fr.vdr	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Revival_(Ukraine)	Related to the Party of Regions
UA	#gr.au	C	AnnaKryvenko	-	Related to АПУ
UA	#gr.dovnar	C	AnnaKryvenko	-	Renamed to the Revilal
UA	#gr.dvr	BT	AnnaKryvenko	https://en.wikipedia.org/wiki/Dovira	en.wiki
UA	#gr.ed	C	AnnaKryvenko	https://uk.wikipedia.org/wiki/Економічний_розвиток_(депутатська_група)	Related to the Party of Regions
UA	#gr.eu	C	AnnaKryvenko	https://uk.wikipedia.org/wiki/Суверенна_європейська_Україна	c.f. https://uk.wikipedia.org/wiki/%D0%A1%D1%83%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%BD%D0%B0_%D1%94%D0%B2%D1%80%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0
UA	#gr.nbl	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Lytvyn_Bloc	The group leaders Lytvyn and Sharov represented C to CL parties.
UA	#gr.ps	BT	AnnaKryvenko	https://en.wikipedia.org/wiki/For_Peace_and_Stability_(parliamentary_group)	It consisted of the former members of the Party of Regions, Communists and Soyuz
UA	#gr.pvd	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Revival_(Ukraine)	Related to the Party of Regions
UA	#gr.pw	C	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Will_(parliamentary_group)	en.wiki
UA	#gr.pzhim	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/Platform_for_Life_and_Peace	en.wiki
UA	#gr.pzm	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/For_the_Future_(political_party)	en.wiki
UA	#gr.rzm	CCR	AnnaKryvenko	https://en.wikipedia.org/wiki/Reforms_for_the_Future	It consisted of the former members of бБЮТ & бНУНС.
UA	#gr.vd	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Revival_(Ukraine)	Related to the Party of Regions
UA	#gr.vdr	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Revival_(Ukraine)	Related to the Party of Regions
UA	#gr.vu	BT	AnnaKryvenko	-	c.f. https://en.wikipedia.org/wiki/Restoration_of_Ukraine split from the Opposition Platform — For Life, Servant of the People, and Dovira
UA	#gr.zm	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/For_the_Future_(political_party)	en.wiki
UA	#pp.Agro1	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Agrarian_Party_of_Ukraine	en.wiki
UA	#pp.Agro2	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Agrarian_Party_of_Ukraine	en.wiki
UA	#pp.Baloha	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Andriy_Baloha%27s_Team	en.wiki
UA	#pp.bl	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Lytvyn_Bloc	The participating parties were C to CL (https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_(%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0) & https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0)
UA	#pp.BPP	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/European_Solidarity	en.wiki
UA	#pp.But	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Batkivshchyna	c.f. https://uk.wikipedia.org/wiki/%D0%92%D1%81%D0%B5%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%81%D1%8C%D0%BA%D0%B5_%D0%BE%D0%B1%27%D1%94%D0%B4%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F_%C2%AB%D0%91%D0%B0%D1%82%D1%8C%D0%BA%D1%96%D0%B2%D1%89%D0%B8%D0%BD%D0%B0%C2%BB ;  https://razumkov.org.ua/uploads/article/2017_PARTII.pdf; https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	#pp.byut	BT	AnnaKryvenko	https://en.wikipedia.org/wiki/Yulia_Tymoshenko_Bloc	en.wiki ; c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	#pp.CPSU	FL	AnnaKryvenko	https://en.wikipedia.org/wiki/Communist_Party_of_the_Soviet_Union	en.wiki
UA	#pp.CUN	FR	AnnaKryvenko	https://en.wikipedia.org/wiki/Congress_of_Ukrainian_Nationalists	en.wiki
UA	#pp.Demo	C	AnnaKryvenko	https://en.wikipedia.org/wiki/All-Ukrainian_Union_%22Democrats%22	Before they changed their name they supported За ЄдУ (C) at the 2002 election https://uk.wikipedia.org/wiki/%D0%92%D1%81%D0%B5%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%81%D1%8C%D0%BA%D0%B5_%D0%BE%D0%B1%27%D1%94%D0%B4%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F_%C2%AB%D0%94%D0%B5%D0%BC%D0%BE%D0%BA%D1%80%D0%B0%D1%82%D0%B8%C2%BB
UA	#pp.dpuds	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Democratic_Party_of_Ukraine	The participating parties are https://en.wikipedia.org/wiki/Democratic_Party_of_Ukraine (split from РУХ) & https://uk.wikipedia.org/wiki/%D0%94%D0%B5%D0%BC%D0%BE%D0%BA%D1%80%D0%B0%D1%82%D0%B8%D1%87%D0%BD%D0%B8%D0%B9_%D1%81%D0%BE%D1%8E%D0%B7#%D0%94%D0%A1_%D0%B2_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%96
UA	#pp.ES	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/European_Solidarity	en.wiki
UA	#pp.Hol	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Holos_(political_party)	en.wiki
UA	#pp.Hrom	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/Hromada_(political_party)	https://en.wikipedia.org/wiki/Hromada_(political_party)
UA	#pp.Kpu	FL	AnnaKryvenko	https://en.wikipedia.org/wiki/Communist_Party_of_Ukraine	en.wiki
UA	#pp.Kray	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/Our_Land_(Ukraine)	en.wiki
UA	#pp.Lab	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/Labour_Ukraine	en.wiki
UA	#pp.NED	C	AnnaKryvenko	https://en.wikipedia.org/wiki/All-Ukrainian_Union_%22Democrats%22	НЕР = Demo
UA	#pp.NF	CRR	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Front_(Ukraine)	en.wiki
UA	#pp.Novi	C	AnnaKryvenko	https://uk.wikipedia.org/wiki/Нові_Обличчя	https://uk.wikipedia.org/wiki/Нові_Обличчя
UA	#pp.NP	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Party_(Ukraine)	c.f. https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_(%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0)
UA	#pp.NRU	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Movement_of_Ukraine	en.wiki
UA	#pp.nu02	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Our_Ukraine–People%27s_Self-Defense_Bloc	en.wiki
UA	#pp.nu06	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Our_Ukraine–People%27s_Self-Defense_Bloc	en.wiki
UA	#pp.nuns	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Our_Ukraine–People%27s_Self-Defense_Bloc	en.wiki
UA	#pp.OB	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Opposition_Bloc	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	#pp.OPZZh	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Opposition_Platform_—_For_Life	c.f. https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	#pp.OurU	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Our_Ukraine_(political_party)	en.wiki
UA	#pp.Patr	R	AnnaKryvenko		This party is not the same as the Patriot of Ukraine. They don't have a page in Wikipedia. https://www.unian.ua/elections/10607316-politichni-sili-ukrajini-partiya-patriot.html?_gl=1*3q26jd*_ga*MTU1MDUyMDkzOC4xNjkzNTUyNzcx*_ga_TECJ2YKWSJ*MTY5MzU1MzAzMy4xLjAuMTY5MzU1MzAzMy42MC4wLjA.*_ga_DENC12J6P3*MTY5MzU1MzAzMy4xLjAuMTY5MzU1MzAzMy42MC4wLjA.; https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%BC%D1%88%D0%B0_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%AF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87; https://www.chesno.org/party/138/
UA	#pp.PP	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/Party_of_Labor_(Ukraine)	c.f. https://en.wikipedia.org/wiki/Party_of_Labor_(Ukraine) (the external link under the entry labels it as CL)
UA	#pp.PRP	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Reforms_and_Order_Party	en.wiki
UA	#pp.Reg	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Party_of_Regions	en.wiki
UA	#pp.Right	RRF	AnnaKryvenko	https://en.wikipedia.org/wiki/Right_Sector	en.wiki
UA	#pp.RP	SY	AnnaKryvenko	https://en.wikipedia.org/wiki/Radical_Party_of_Oleh_Liashko	en.wiki
UA	#pp.RPU	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Ukrainian_Republican_Party	c.f. https://en.wikipedia.org/wiki/Ukrainian_Republican_Party  This party merged into Sobor, which ih CR.
UA	#pp.S-H	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Strength_and_Honor	en.wiki
UA	#pp.SDPU	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Ukraine_(united)	en.wiki
UA	#pp.Sea	C	AnnaKryvenko	-	c.f. http://45852.hainyzhn.web.hosting-test.net/doc/2012doc..u2.php
UA	#pp.Self	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Self_Reliance_(political_party)	en.wiki
UA	#pp.SL	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Power_of_the_People	en.wiki
UA	#pp.SN	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Servant_of_the_People	en.wiki
UA	#pp.Soyuz	BT	AnnaKryvenko	https://en.wikipedia.org/wiki/Soyuz_(political_party)	en.wiki
UA	#pp.Spravy	CL	AnnaKryvenko	https://uk.wikipedia.org/wiki/За_конкретні_справи	The uk.wiki does not indicate the party's political orientation. In fact, it is a political project of the regional elites in Khmelnytska Oblast )_(https://uk.wikipedia.org/wiki/%D0%97%D0%B0_%D0%BA%D0%BE%D0%BD%D0%BA%D1%80%D0%B5%D1%82%D0%BD%D1%96_%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%B8).
UA	#pp.SPU	L	AnnaKryvenko	https://en.wikipedia.org/wiki/Socialist_Party_of_Ukraine	c.f. https://uk.wikipedia.org/wiki/%D0%A1%D0%BE%D1%86%D1%96%D0%B0%D0%BB%D1%96%D1%81%D1%82%D0%B8%D1%87%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8
UA	#pp.Sv	RRF	AnnaKryvenko	https://en.wikipedia.org/wiki/Svoboda_(political_party)	en.wiki
UA	#pp.Sylna	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Strong_Ukraine	Information obtained from https://en.wikipedia.org/wiki/Strong_Ukraine + https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0
UA	#pp.Trud	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/Labour_Ukraine	en.wiki
UA	#pp.UC	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Andriy_Baloha%27s_Team	en.wiki
UA	#pp.Ud	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Ukrainian_Democratic_Alliance_for_Reform	en.wiki
UA	#pp.Ukrop	SY	AnnaKryvenko	https://en.wikipedia.org/wiki/UKROP	en.wiki
UA	#pp.Unity	CCR	AnnaKryvenko	https://en.wikipedia.org/wiki/Unity_of_Oleksandr_Omelchenko	c.f. uk.wiki  (The party bloced with the CR Our Ukraine but supported the C Party of Regions)
UA	#pp.UnityOO	CCR	AnnaKryvenko	https://en.wikipedia.org/wiki/Unity_of_Oleksandr_Omelchenko	c.f. uk.wiki (The party bloced with the CR Our Ukraine but supported the C Party of Regions)
UA	#pp.UNP	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Ukrainian_People%27s_Party	en.wiki
UA	#pp.UP	R	AnnaKryvenko	https://uk.wikipedia.org/wiki/Українська_партія	uk.wiki
UA	#pp.USH	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Ukrainian_Strategy_of_Groysman	en.wiki
UA	#pp.UV	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/Ukraine_–_Forward!	en.wiki
UA	#pp.Vdr	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Revival_(Ukraine)	Related to the Party of Regions
UA	#pp.Volia	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Liberty_(political_party)	en.wiki
UA	#pp.zaedu	C	AnnaKryvenko	https://en.wikipedia.org/wiki/For_United_Ukraine!	en.wiki
UA	#pp.Zastrup	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Spade_(political_party)	A single issue party mixing CL and CR points in their program.
UA	#pp.zm	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/For_the_Future_(political_party)	en.wiki
UA	fr.sdpuo	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Ukraine_(united)	en.wiki
UA	pp.cp	C	AnnaKryvenko	https://en.wikipedia.org/wiki/Civil_Position	en.wiki
UA	pp.justice	CL	AnnaKryvenko	https://en.wikipedia.org/wiki/Justice_Party_(Ukraine)	en.wiki
UA	pp.ndp	CCL	AnnaKryvenko	https://en.wikipedia.org/wiki/People%27s_Democratic_Party_(Ukraine)	en.wiki
UA	pp.nsnu	CR	AnnaKryvenko	https://en.wikipedia.org/wiki/Our_Ukraine_(political_party) 	en.wiki
UA	pp.urdp	SY	AnnaKryvenko	https://en.wikipedia.org/wiki/Radical_Party_of_Oleh_Liashko 	en.wiki
