file	fromAt	fromEl	toEl	target	BE	BG	CZ	DK	ES	FR	GB	GR	HR	HU	IS	IT	LT	LV	NL	PL	SI	TR
TEI	ana	TEI	category	external	16	6	12	12	8	12	12	16	12	12	12	16	12	16	6	12	12	12
TEI	ana	date	category	external	8	-	80	6	8	-	-	8	6	6	-	8	6	8	-	6	6	6
TEI	ana	link	category	external	1506	6466	6077	8372	8742	517	2012	4102	1667	4187	1855	824	901	1463	3505	5277	3166	182
TEI	ana	meeting	category	external	32	18	48	12	32	24	24	16	12	6	18	40	42	16	36	42	24	12
TEI	ana	meeting	event	external	8	-	6	-	8	-	6	8	6	-	6	8	12	8	6	-	6	6
TEI	ana	meeting	org	external	-	-	-	-	-	12	-	-	-	-	-	-	-	-	-	-	-	-
TEI	ana	name	category	external	-	-	310	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEI	ana	num	category	external	-	-	177	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEI	ana	text	category	external	8	6	6	6	8	6	6	8	6	6	6	8	6	8	6	6	6	6
TEI	ana	time	category	external	-	-	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEI	ana	u	category	external	32	24	24	20	32	24	24	32	24	24	40	32	24	32	24	24	20	24
TEI	ana	w	category	external	2896	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEI	corresp	meeting	org	external	16	18	-	-	16	12	12	8	6	6	18	-	12	16	18	-	12	6
TEI	corresp	pb	media	local	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEI	ref	persName	-	url	-	-	6	-	-	-	-	-	12	-	-	40	-	-	-	-	3	-
TEI	source	media	-	url	-	-	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEI	source	pb	-	url	-	-	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEI	source	u	-	url	-	-	20	-	-	-	-	-	-	-	24	-	-	-	-	-	-	-
TEI	target	link	pc	local	158	833	956	2431	775	62	61	416	143	599	170	114	193	333	373	846	386	23
TEI	target	link	s	local	110	296	292	78	244	33	80	135	67	199	104	43	80	125	212	332	152	16
TEI	target	link	w	local	2744	11803	10906	14235	16465	939	3883	7653	3124	7576	3436	1491	1529	2468	6425	9376	5794	325
TEI	target	ref	-	url	56	30	42	18	48	18	24	40	30	24	30	40	30	24	27	30	30	18
TEI	who	u	person	external	32	24	24	20	10	24	24	32	24	24	24	32	24	32	24	24	20	24
teiCorpus	active	relation	org	local	96	12	-	-	198	-	236	34	22	-	32	118	88	-	164	18	44	70
teiCorpus	ana	affiliation	category	local	-	-	-	-	-	-	-	-	-	-	872	-	-	-	-	-	-	-
teiCorpus	ana	affiliation	event	local	-	-	2308	100	-	-	-	-	-	-	1416	4158	14190	-	-	-	976	9620
teiCorpus	ana	category	category	local	-	-	-	-	-	-	-	-	-	-	9828	-	-	-	-	-	-	-
teiCorpus	ana	date	category	local	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
teiCorpus	ana	meeting	category	local	8	4	12	16	20	4	24	12	2	4	6	8	4	4	20	16	8	8
teiCorpus	ana	meeting	event	local	-	4	6	16	10	-	8	6	2	4	6	4	4	4	-	-	4	8
teiCorpus	ana	org	category	local	4	-	8	2	4	2	-	2	4	4	-	4	2	2	8	-	4	2
teiCorpus	ana	org	taxonomy	local	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-
teiCorpus	ana	relation	event	local	16	4	-	3	20	-	-	-	4	-	-	24	40	-	24	-	16	4
teiCorpus	corresp	meeting	org	local	-	4	-	16	10	2	-	6	2	4	-	4	4	4	-	-	4	8
teiCorpus	mutual	relation	org	local	40	18	-	14	42	-	4	8	10	-	16	76	64	-	32	2	30	2
teiCorpus	passive	relation	event	local	-	-	-	-	-	-	-	-	-	-	-	20	-	-	-	-	-	-
teiCorpus	passive	relation	org	local	10	4	-	-	10	-	8	8	2	-	6	52	20	-	12	4	16	4
teiCorpus	ref	affiliation	-	url	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
teiCorpus	ref	affiliation	category	local	-	-	-	-	-	-	11028	-	-	-	-	-	-	-	-	-	-	-
teiCorpus	ref	affiliation	event	local	-	-	-	-	-	-	-	-	-	-	96	646	-	-	-	-	-	-
teiCorpus	ref	affiliation	org	local	3820	1702	26438	1886	3118	3194	12010	5044	372	388	1416	4158	14132	740	940	1440	976	9620
teiCorpus	ref	persName	-	url	-	-	2	-	5	-	-	-	4	-	-	10	-	-	-	-	5	-
teiCorpus	ref	placeName	-	url	-	20	-	-	-	-	-	-	-	-	-	1478	-	-	-	-	224	-
teiCorpus	scheme	catRef	taxonomy	local	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
teiCorpus	target	catRef	category	local	4	2	-	2	4	4	6	2	2	2	2	4	2	2	6	6	4	2
teiCorpus	target	ref	-	url	17	13	17	16	14	9	9	14	15	15	15	15	13	11	9	20	15	11
teiCorpus	url	graphic	-	url	1096	-	906	-	-	-	2058	-	-	-	-	-	-	-	-	-	-	-